p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1	1.5357862437785e-39	0.574151572860049	0.762	0.167	6.21050017180541e-36	0	LINC02520
2	1.31969995490517e-34	0.447724637512152	0.938	0.573	2.99818786472693e-31	0	APOBEC3H
3	1.95601084935525e-34	0.410061113908655	0.785	0.231	3.95491422233565e-31	0	TRAPPC10
4	6.66633192163796e-34	0.272065747955407	0.692	0.198	1.25802571803871e-30	0	GAL3ST2
5	2.86972645556024e-31	0.473563621544855	0.923	0.513	5.07708417359648e-28	0	IL2RB
6	4.01479990253782e-31	0.396980509251031	0.454	0.047	6.31371893561878e-28	0	PRF1
7	4.59530137938654e-31	0.364611310207726	0.454	0.044	6.84627348138394e-28	0	CCL5
8	8.6214126867275e-30	0.602054797955165	0.654	0.198	1.06107099531824e-26	0	CST7
9	1.79784786968625e-29	0.449951847332998	0.531	0.078	1.95737229412341e-26	0	C1orf21
10	6.13102372630346e-29	0.478604192867081	0.946	0.549	5.98451340070594e-26	0	NKG7
11	1.31611546363543e-28	0.34561431423697	0.654	0.153	1.16422751341025e-25	0	SPTBN5
12	1.092052222811e-27	0.474495318669333	0.877	0.502	8.35478980300298e-25	0	MIR6731
13	7.70838333254269e-27	0.377206625906766	0.723	0.204	5.32198065839722e-24	0	BCL11B
14	1.52879203831434e-25	0.305928813732118	0.715	0.222	8.6551032457128e-23	0	NFATC2
15	4.42894158801249e-25	0.298138452965449	0.938	0.613	2.36547263267679e-22	0	APOBEC3G
16	7.05671654905279e-25	0.333246947051269	0.608	0.138	3.50446447989539e-22	0	F2R
17	7.2335015339596e-25	0.373852325400158	0.685	0.193	3.53032289520335e-22	0	PTCH1
18	2.11755550976301e-24	0.418836247662646	0.531	0.109	9.82649898604286e-22	0	CD8A
19	5.79335755094707e-24	0.400629274574605	0.377	0.047	2.19235147650727e-21	0	KRTAP12-3
20	3.02355292270741e-23	0.344011085907255	0.692	0.262	1.04375259247657e-20	0	ZNF831
21	6.85086773928586e-23	0.258696975659478	0.808	0.271	2.13107157248313e-20	0	PPP1R16B
22	9.62178215129607e-23	0.445521053096888	0.569	0.14	2.92864287480363e-20	0	GATA3
23	9.73320850428066e-23	0.428581139863392	0.715	0.216	2.93104184181567e-20	0	MRPL10
24	1.16106867044521e-22	0.42605894527501	0.715	0.216	3.31983543982754e-20	0	LRRC46
