p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1	6.40917455882799e-197	2.98407112312912	0.989	0.064	8.82735611987378e-193	0	S100A12
2	1.7115750008612e-191	2.63007966638	0.996	0.085	1.17867612434307e-187	0	VCAN
3	1.39825551487877e-180	4.07401505430726	1	0.143	6.41939106880842e-177	0	S100A8
4	1.99765464482097e-178	1.88285763893301	0.96	0.076	6.87842435577979e-175	0	CD14
5	5.4921071703779e-176	2.21962504334687	0.996	0.121	1.5128558411523e-172	0	MNDA
6	4.35223930909922e-175	1.62035483712089	0.952	0.077	9.99056533403725e-172	0	AC020656.1
7	1.78948011467629e-169	3.69577282471825	1	0.194	3.52092994563379e-166	0	S100A9
8	5.67817588850678e-168	2.15435922709221	0.996	0.112	9.77568956405048e-165	0	FCN1
9	2.25962651556305e-165	1.7197230556904	0.971	0.082	3.45798177764999e-162	0	MS4A6A
10	6.13024658939739e-164	1.53732238617114	0.941	0.092	8.44318862757702e-161	0	CSF3R
11	1.00710201038431e-163	1.58595579978811	0.96	0.101	1.26098327172938e-160	0	CSTA
12	2.76730587253717e-163	2.88877013470313	1	0.209	3.17617531520454e-160	0	LYZ
13	6.08964917813730e-159	1.63988464914474	0.945	0.105	6.45174908696038e-156	0	CD36
14	4.16689012869186e-155	1.58014018083019	0.883	0.081	4.09932698160521e-152	0	PLBD1
15	8.30340913842353e-151	1.62580905837915	0.993	0.136	7.62419027090048e-148	0	FGL2
16	1.18422849460906e-150	1.65549226699269	0.974	0.136	1.01939869101566e-147	0	KLF4
17	1.04643527962767e-149	1.51199883252344	0.982	0.158	8.47797241547761e-147	0	MPEG1
18	1.12547586847885e-148	1.44110992575996	0.96	0.126	8.61176618697731e-146	0	NCF2
19	1.03463559689607e-146	1.15542661336052	0.864	0.073	7.50001898739454e-144	0	FPR1
20	6.73355560091412e-142	1.37482561332391	0.974	0.102	4.63706306456951e-139	0	SERPINA1
21	9.71058552334808e-142	1.53114174192263	0.993	0.224	6.36875687681301e-139	0	GRN
22	1.84244892372738e-141	1.2897942042543	0.908	0.103	1.15345677393169e-138	0	TNFAIP2
23	7.72682034856683e-141	1.53528153041849	0.974	0.2	4.6270215939483e-138	0	CYBB
24	1.0810247719474e-139	1.25305644994556	0.919	0.125	6.20373091001316e-137	0	TNFSF13B
25	2.41568855370253e-138	1.09758266726387	0.758	0.039	1.3308511380058e-135	0	RBP7
26	1.91224317165833e-137	1.54443854241367	0.985	0.306	1.01297404627885e-134	0	APLP2
27	2.31042455596626e-137	1.23823284529781	0.927	0.112	1.17857323738234e-134	0	CLEC7A
28	1.22486550876489e-136	1.63871710785896	0.978	0.224	6.025025947221e-134	0	CEBPD
29	1.30442420796034e-136	1.19912945748313	0.879	0.092	6.19511538490957e-134	0	SLC11A1
30	2.81971455307116e-135	1.74525009426855	0.956	0.197	1.29453095131497e-132	0	RGS2
31	2.63537804100783e-134	1.17949281212348	0.832	0.071	1.17087295996132e-131	0	C5AR1
32	2.49177512593976e-133	1.18326145465441	0.868	0.102	1.07247558779901e-130	0	ALDH2
33	3.15599884233566e-133	1.30095922135902	0.963	0.191	1.31719915319664e-130	0	RNF130
34	2.67752802578288e-130	1.07246264105714	0.861	0.106	1.08463510291493e-127	0	TIMP2
35	3.34109338642809e-130	1.18590754750497	0.872	0.11	1.31476797746498e-127	0	TGFBI
36	3.61269252403671e-130	1.9127174331802	0.982	0.323	1.38215594815438e-127	0	AC020916.1
37	3.90590544146469e-130	1.23025688304083	0.864	0.111	1.45394690933225e-127	0	KCTD12
38	8.21806984444196e-129	1.07109393639775	0.835	0.097	2.9786177886184e-126	0	CD302
39	1.67534001125141e-128	1.09719849662216	0.806	0.09	5.91652768588864e-126	0	MEGF9
40	1.8549063299486e-128	1.07693542006094	0.835	0.092	6.38690622059552e-126	0	CLEC12A
41	6.93065734649699e-127	1.81765737362142	0.996	0.882	2.32819374715373e-124	0	FOS
42	8.39228418549098e-127	1.14927460732873	0.886	0.108	2.75206976397065e-124	0	SLC7A7
43	2.10824549427284e-125	0.988627715367362	0.795	0.073	6.7527593471209e-123	0	CD93
44	3.67907768010446e-124	0.932171883806694	0.868	0.103	1.15163492927452e-121	0	RAB32
45	1.54250498199566e-123	1.37672614112011	0.996	0.142	4.67231373800443e-121	0	CST3
46	1.56049104732596e-123	2.03354873122972	0.996	0.537	4.67231373800443e-121	0	CTSS
47	2.42994646068685e-123	1.25991400604482	0.908	0.11	7.12077714958297e-121	0	CPVL
48	6.10877355732853e-123	1.39309224546135	0.993	0.483	1.75283621260595e-120	0	TKT
49	2.13898186280256e-122	1.14255655192561	0.879	0.159	5.99120265180021e-120	0	PGD
50	2.17498099607936e-122	1.17431291949681	0.919	0.138	5.99120265180021e-120	0	CFD
51	8.59419897289771e-122	-1.30103631420364	0.985	0.994	2.32093926379843e-119	0	RPS19
52	1.05042025008717e-121	1.50445975131685	0.989	0.278	2.78219963547127e-119	0	TYMP
53	1.75861713575692e-121	1.70001119509358	0.996	0.803	4.57008185109057e-119	0	DUSP1
54	2.85627671117591e-120	1.41127711164736	0.974	0.361	7.28509243389366e-118	0	AP1S2
55	6.25268528801116e-120	1.17283196517811	0.648	0.024	1.56578608130505e-117	0	CYP1B1
56	8.07988506884076e-118	-1.41087492373166	0.989	0.995	1.987218875949e-115	0	RPS29
57	9.18093257756348e-118	-1.40770363476294	1	0.999	2.218403234926e-115	0	RPS27
58	4.13477118580196e-117	0.855110427218141	0.707	0.054	9.81865578311215e-115	0	MGST1
59	5.49783890192213e-117	1.36931813361472	0.996	0.238	1.28341924061311e-114	0	AIF1
60	1.00122912791417e-116	1.44196061247558	1	0.861	2.29832146312697e-114	0	S100A6
61	1.04535448805081e-116	1.18946622431994	0.799	0.082	2.36027333834817e-114	0	LGALS2
62	5.31945679244614e-116	1.08872210366862	0.868	0.163	1.18169158713485e-113	0	BLVRB
63	1.85016534209275e-115	1.46704156368975	1	0.594	4.04481385026087e-113	0	SRGN
64	2.59028555695584e-115	1.28658047482996	1	0.554	5.57437546499262e-113	0	GPX1
65	3.76266157067103e-115	1.25882736767714	0.985	0.417	7.97279043274648e-113	0	BRI3
66	4.10647164675395e-115	1.11924463407348	0.993	0.249	8.569459695567e-113	0	LST1
67	4.65399620623582e-115	1.35348227961217	0.883	0.177	9.56708802216209e-113	0	NAMPT
68	9.59391098426959e-115	1.38584017098194	0.846	0.12	1.94319023509331e-112	0	DUSP6
69	2.22222478738343e-114	1.43408932913044	1	0.229	4.43575391255535e-112	0	TYROBP
70	7.15168209989096e-114	0.923129115056534	0.711	0.065	1.40714453659712e-111	0	BST1
71	1.57346158914429e-113	1.17793241214817	0.952	0.223	3.05229386863159e-111	0	LGALS3
72	5.51416595423306e-112	-1.16073163845186	1	0.996	1.05481399566183e-109	0	RPS3
73	5.72436114793182e-112	1.51861026030983	0.982	0.305	1.08002227521185e-109	0	LGALS1
74	9.55323696014703e-112	0.865497109079515	0.663	0.042	1.77806395475818e-109	0	TREM1
75	3.4477860064269e-111	-0.885946853466855	0.996	0.999	6.33151422220235e-109	0	RPL10
76	2.17605562688433e-110	1.17726944257633	0.886	0.213	3.94352817751024e-108	0	GCA
77	3.37462476023925e-110	1.54239599607121	0.996	0.46	6.0361956912695e-108	0	PSAP
78	9.96572187766346e-110	0.907019189081747	0.747	0.08	1.75971650539819e-107	0	DMXL2
79	1.22217311971138e-109	0.879056307566699	0.777	0.097	2.13075827566897e-107	0	RAB31
80	2.09095486882697e-109	-1.39386926548568	0.938	0.99	3.59984017604423e-107	0	RPSA
81	3.00018891671505e-109	0.794376284579718	0.645	0.037	5.10143233949585e-107	0	CD163
82	5.54895339032229e-109	-1.13610617711495	0.993	0.995	9.32021159084255e-107	0	RPL3
83	4.14870737111709e-108	0.868682796340258	0.758	0.096	6.88435501474646e-106	0	CD33
84	7.55981651380033e-108	0.905254094785111	0.788	0.101	1.23953991481633e-105	0	FCGR2A
85	8.83057362565687e-108	1.19400507876323	0.971	0.483	1.43086459466085e-105	0	TALDO1
86	9.31883241094217e-108	0.914495223700879	0.725	0.078	1.49242184646403e-105	0	IRAK3
87	1.13526902748012e-107	0.867242644306322	0.678	0.056	1.79724831212456e-105	0	CDA
88	1.89102106797738e-107	1.14870465622354	0.934	0.28	2.95966286014232e-105	0	CTSB
89	3.00445268287875e-107	0.946731061696652	0.736	0.081	4.63545649661612e-105	0	PLAUR
90	3.02905020471539e-107	0.951735872569791	0.85	0.134	4.63545649661612e-105	0	LMO2
91	3.12721665154909e-107	-0.796726282048494	1	0.999	4.73309394964677e-105	0	RPL41
92	3.71175894871129e-107	1.422198478453	1	0.993	5.55674521745659e-105	0	FTL
93	4.87903641685805e-107	1.56625767513867	0.996	0.853	7.22569554509526e-105	0	NEAT1
94	8.0134107994172e-107	0.74515776600097	0.626	0.034	1.17413518021674e-104	0	CLEC4E
95	2.43119054486628e-106	1.30036354012844	0.974	0.469	3.52471446046771e-104	0	CTSD
96	3.34376895523914e-106	1.00940402583622	0.868	0.184	4.79726352296965e-104	0	NUP214
97	7.26805849419038e-106	0.740021290514677	0.626	0.036	1.03198937773695e-103	0	CREB5
98	1.03637641661359e-105	0.842033858170572	0.729	0.083	1.45653187612439e-103	0	AC005747.1
99	3.47740496803763e-105	-1.18469505162923	0.93	0.99	4.83780794189719e-103	0	RPS5
100	4.98379234304777e-105	0.822006995087593	0.685	0.062	6.8641771940797e-103	0	ASGR1
101	6.3252174139584e-105	0.799920497817671	0.67	0.057	8.62546727152961e-103	0	SIRPA
102	1.01662253830119e-104	1.26464302983528	0.996	0.202	1.37273943333552e-102	0	FCER1G
103	8.62619156826151e-104	1.35601754485216	1	0.994	1.1534809365987e-101	0	FTH1
104	1.05901912884843e-103	-1.12514072275946	0.989	0.993	1.40248754438745e-101	0	RPS21
105	2.75830009403896e-103	1.25645462336196	0.993	0.535	3.61810163763796e-101	0	S100A11
106	6.57665031336635e-103	-0.948780858297202	0.996	0.995	8.54530233641459e-101	0	RPL23A
107	7.94963598994482e-103	1.28260713407426	0.982	0.628	1.02327417279916e-100	0	MCL1
